cut,clarity,color,carat,price_per_carat
Fair,SI1,F,0.51,2200.9803921568628
Fair,SI1,F,0.54,2062.962962962963
Fair,SI1,F,0.56,2100.0
Fair,SI1,F,0.57,1987.7192982456143
Fair,SI1,F,0.62,2646.7741935483873
Fair,SI1,F,0.67,2450.7462686567164
Fair,SI1,F,0.7,3010.357142857143
Fair,SI1,F,0.71,3201.4084507042253
Fair,SI1,F,0.72,3737.5
Fair,SI1,F,0.75,3375.333333333333
Fair,SI1,F,0.88,3275.0
Fair,SI1,F,0.9,3675.1851851851848
Fair,SI1,F,0.92,3388.0434782608695
Fair,SI1,F,0.94,4311.702127659575
Fair,SI1,F,0.96,5051.041666666667
Fair,SI1,F,0.97,4188.659793814433
Fair,SI1,F,1.0,4709.428571428572
Fair,SI1,F,1.01,4357.6732673267325
Fair,SI1,F,1.02,4556.862745098039
Fair,SI1,F,1.04,4233.653846153846
Fair,SI1,F,1.05,4939.047619047619
Fair,SI1,F,1.49,5891.946308724832
Fair,SI1,F,1.5,7436.0
Fair,SI1,F,1.51,5554.304635761589
Fair,SI1,F,1.54,7112.987012987013
Fair,SI1,F,2.01,6660.199004975125
Fair,SI1,G,0.4,2400.0
Fair,SI1,G,0.45,1680.0
Fair,SI1,G,0.47,2310.6382978723404
Fair,SI1,G,0.5,2153.0
Fair,SI1,G,0.51,2187.254901960784
Fair,SI1,G,0.6,2175.0
Fair,SI1,G,0.7,2992.619047619048
Fair,SI1,G,0.71,3059.8591549295775
Fair,SI1,G,0.73,2783.5616438356165
Fair,SI1,G,0.74,2783.7837837837837
Fair,SI1,G,0.78,3024.358974358974
Fair,SI1,G,0.79,2989.8734177215188
Fair,SI1,G,0.82,2852.439024390244
Fair,SI1,G,0.84,3311.904761904762
Fair,SI1,G,0.9,3524.444444444444
Fair,SI1,G,0.95,2990.5263157894738
Fair,SI1,G,0.98,4368.367346938776
Fair,SI1,G,1.0,3826.909090909091
Fair,SI1,G,1.01,3844.7524752475247
Fair,SI1,G,1.02,3964.705882352941
Fair,SI1,G,1.03,4295.145631067961
Fair,SI1,G,1.16,3975.8620689655177
Fair,SI1,G,1.21,4559.5041322314055
Fair,SI1,G,1.5,5309.0
Fair,SI1,G,2.0,5967.5
Fair,SI1,G,2.01,9240.7960199005
Fair,SI1,H,0.43,2288.3720930232557
Fair,SI1,H,0.5,2172.0
Fair,SI1,H,0.7,2770.0
Fair,SI1,H,0.71,2811.7370892018785
Fair,SI1,H,0.76,2974.342105263158
Fair,SI1,H,0.82,3728.0487804878053
Fair,SI1,H,0.9,3503.333333333333
Fair,SI1,H,0.91,3530.4029304029305
Fair,SI1,H,0.93,4032.258064516129
Fair,SI1,H,0.94,3494.68085106383
Fair,SI1,H,0.98,3656.122448979592
Fair,SI1,H,1.0,3591.0
Fair,SI1,H,1.01,3830.528052805281
Fair,SI1,H,1.02,4751.470588235294
Fair,SI1,H,1.11,4664.864864864864
Fair,SI1,H,1.13,5107.0796460177
Fair,SI1,H,1.19,4724.36974789916
Fair,SI1,H,1.21,3191.7355371900826
Fair,SI1,H,1.5,4668.88888888889
Fair,SI1,H,1.51,5490.8940397351
Fair,SI1,H,1.52,5532.565789473684
Fair,SI1,H,2.0,7326.0
Fair,SI1,H,2.02,7226.980198019803
Fair,SI1,H,2.03,7214.778325123153
Fair,SI1,I,0.7,2505.0
Fair,SI1,I,0.72,2498.6111111111113
Fair,SI1,I,0.85,2932.9411764705883
Fair,SI1,I,0.9,3192.222222222222
Fair,SI1,I,0.99,3370.7070707070707
Fair,SI1,I,1.0,3123.6666666666665
Fair,SI1,I,1.01,3247.5247524752476
Fair,SI1,I,1.03,3778.640776699029
Fair,SI1,I,1.09,3920.1834862385317
Fair,SI1,I,1.19,4368.0672268907565
Fair,SI1,I,1.2,3640.0
Fair,SI1,I,1.32,4591.666666666666
Fair,SI1,I,1.5,5274.666666666667
Fair,SI1,I,1.56,5096.153846153846
Fair,SI1,J,0.34,1461.764705882353
Fair,SI1,J,0.62,1775.8064516129032
Fair,SI1,J,0.7,2461.4285714285716
Fair,SI1,J,0.75,2436.0
Fair,SI1,J,0.77,2540.2597402597403
Fair,SI1,J,0.9,2708.8888888888887
Fair,SI1,J,0.91,2626.3736263736264
Fair,SI1,J,0.99,2909.59595959596
Fair,SI1,J,1.0,3477.5
Fair,SI1,J,1.02,2967.6470588235293
Fair,SI1,J,1.13,3648.6725663716816
Fair,SI1,J,1.2,4031.666666666667
Fair,SI1,J,1.21,3427.2727272727275
Fair,SI1,J,1.3,4221.538461538461
Fair,SI1,J,1.35,4091.8518518518517
Fair,SI1,J,1.5,4004.0
Fair,SI1,J,1.51,4619.867549668874
Fair,SI1,J,1.65,3584.2424242424245
Fair,SI1,J,1.81,4619.889502762431
Fair,SI1,J,2.0,5594.5
Fair,SI1,J,2.01,5578.109452736319
Fair,SI1,J,2.29,5594.323144104804
Fair,SI2,D,0.3,1786.6666666666667
Fair,SI2,D,0.51,2174.5098039215686
Fair,SI2,D,0.58,1993.1034482758623
Fair,SI2,D,0.62,2274.1935483870966
Fair,SI2,D,0.7,2853.928571428572
Fair,SI2,D,0.71,3095.774647887324
Fair,SI2,D,0.75,3797.3333333333335
Fair,SI2,D,0.76,3313.157894736842
Fair,SI2,D,0.77,2144.155844155844
Fair,SI2,D,0.84,2579.761904761905
Fair,SI2,D,0.9,3724.7222222222217
Fair,SI2,D,0.91,3383.5164835164833
Fair,SI2,D,0.95,3562.105263157895
Fair,SI2,D,1.0,3692.3333333333335
Fair,SI2,D,1.01,5385.39603960396
Fair,SI2,D,1.02,4295.098039215686
Fair,SI2,D,1.03,3633.9805825242715
Fair,SI2,D,1.04,4228.846153846153
Fair,SI2,D,1.05,3634.285714285714
Fair,SI2,D,1.1,4295.454545454545
Fair,SI2,D,1.18,3304.237288135593
Fair,SI2,D,1.5,4979.333333333333
Fair,SI2,D,1.51,4368.211920529801
Fair,SI2,D,1.52,5067.105263157895
Fair,SI2,D,1.6,5416.25
Fair,SI2,D,1.72,4804.6511627906975
Fair,SI2,D,2.01,7888.805970149255
Fair,SI2,D,2.07,6287.92270531401
Fair,SI2,E,0.48,1889.5833333333335
Fair,SI2,E,0.5,1890.5
Fair,SI2,E,0.56,2480.3571428571427
Fair,SI2,E,0.6,1721.6666666666667
Fair,SI2,E,0.62,2314.516129032258
Fair,SI2,E,0.7,2754.0
Fair,SI2,E,0.72,2951.388888888889
Fair,SI2,E,0.74,3536.4864864864867
Fair,SI2,E,0.78,3488.4615384615386
Fair,SI2,E,0.9,3293.7777777777774
Fair,SI2,E,0.91,3427.4725274725274
Fair,SI2,E,0.96,3753.6458333333335
Fair,SI2,E,0.98,2913.265306122449
Fair,SI2,E,1.0,3804.0
Fair,SI2,E,1.01,3685.038503850385
Fair,SI2,E,1.02,3762.7450980392155
Fair,SI2,E,1.04,4390.384615384615
Fair,SI2,E,1.07,4201.869158878504
Fair,SI2,E,1.08,3574.9999999999995
Fair,SI2,E,1.11,4390.09009009009
Fair,SI2,E,1.21,4071.0743801652893
Fair,SI2,E,1.32,4712.878787878788
Fair,SI2,E,1.33,3696.240601503759
Fair,SI2,E,1.43,4255.944055944056
Fair,SI2,E,1.5,5361.466666666667
Fair,SI2,E,1.64,5459.756097560976
Fair,SI2,E,2.0,7770.0
Fair,SI2,E,2.01,5550.248756218906
Fair,SI2,F,0.25,4052.0
Fair,SI2,F,0.5,2062.0
Fair,SI2,F,0.52,1875.0
Fair,SI2,F,0.7,2783.8095238095234
Fair,SI2,F,0.71,3119.718309859155
Fair,SI2,F,0.73,2599.3150684931506
Fair,SI2,F,0.75,2802.6666666666665
Fair,SI2,F,0.78,2964.102564102564
Fair,SI2,F,0.81,2674.074074074074
Fair,SI2,F,0.9,3547.111111111111
Fair,SI2,F,0.91,3409.8901098901097
Fair,SI2,F,0.92,3567.391304347826
Fair,SI2,F,0.95,2963.157894736842
Fair,SI2,F,0.96,3234.027777777778
Fair,SI2,F,1.0,3621.5
Fair,SI2,F,1.01,3723.8861386138615
Fair,SI2,F,1.02,3621.078431372549
Fair,SI2,F,1.05,3442.8571428571427
Fair,SI2,F,1.09,2908.256880733945
Fair,SI2,F,1.13,3695.5752212389384
Fair,SI2,F,1.2,4095.8333333333335
Fair,SI2,F,1.21,4155.371900826446
Fair,SI2,F,1.22,3856.5573770491806
Fair,SI2,F,1.24,3528.225806451613
Fair,SI2,F,1.29,3739.5348837209303
Fair,SI2,F,1.5,5096.0
Fair,SI2,F,1.51,4703.973509933775
Fair,SI2,F,1.71,5095.9064327485385
Fair,SI2,F,2.0,7675.5
Fair,SI2,F,2.1,7536.666666666666
Fair,SI2,F,2.14,6460.280373831775
Fair,SI2,F,2.5,6962.0
Fair,SI2,F,2.58,4844.961240310077
Fair,SI2,G,0.5,2070.0
Fair,SI2,G,0.69,2450.7246376811595
Fair,SI2,G,0.7,2765.7142857142862
Fair,SI2,G,0.71,3023.943661971831
Fair,SI2,G,0.73,2808.219178082192
Fair,SI2,G,0.8,2807.5
Fair,SI2,G,0.83,2874.698795180723
Fair,SI2,G,0.9,3348.8888888888887
Fair,SI2,G,0.93,3410.752688172043
Fair,SI2,G,0.96,2539.5833333333335
Fair,SI2,G,1.0,3001.4
Fair,SI2,G,1.01,3574.257425742574
Fair,SI2,G,1.03,3312.94498381877
Fair,SI2,G,1.04,3426.9230769230767
Fair,SI2,G,1.07,3313.0841121495323
Fair,SI2,G,1.16,3712.931034482759
Fair,SI2,G,1.2,3370.0
Fair,SI2,G,1.22,3084.4262295081967
Fair,SI2,G,1.33,4569.924812030075
Fair,SI2,G,1.34,3810.4477611940297
Fair,SI2,G,1.35,3427.4074074074074
Fair,SI2,G,1.38,3427.5362318840585
Fair,SI2,G,1.46,3769.8630136986303
Fair,SI2,G,1.5,4368.0
Fair,SI2,G,1.51,5823.841059602649
Fair,SI2,G,1.56,5096.153846153846
Fair,SI2,G,2.0,6119.833333333333
Fair,SI2,G,2.01,6678.855721393035
Fair,SI2,G,2.03,7234.975369458129
Fair,SI2,G,2.1,5853.333333333333
Fair,SI2,G,2.11,5987.203791469195
Fair,SI2,G,2.22,5634.234234234234
Fair,SI2,G,2.43,6162.551440329217
Fair,SI2,G,2.5,5677.6
Fair,SI2,G,2.6,6548.846153846153
Fair,SI2,H,0.72,2779.166666666667
Fair,SI2,H,0.74,2651.3513513513512
Fair,SI2,H,0.81,2082.716049382716
Fair,SI2,H,0.82,2875.6097560975613
Fair,SI2,H,0.9,3107.5
Fair,SI2,H,0.91,3070.32967032967
Fair,SI2,H,0.92,2481.5217391304345
Fair,SI2,H,0.94,3567.021276595745
Fair,SI2,H,0.96,2783.3333333333335
Fair,SI2,H,0.98,2833.673469387755
Fair,SI2,H,1.0,3002.0
Fair,SI2,H,1.01,2976.7326732673264
Fair,SI2,H,1.02,4311.764705882353
Fair,SI2,H,1.03,3639.805825242718
Fair,SI2,H,1.05,2587.6190476190477
Fair,SI2,H,1.13,3639.823008849558
Fair,SI2,H,1.16,3163.7931034482763
Fair,SI2,H,1.17,4031.623931623932
Fair,SI2,H,1.2,3605.555555555556
Fair,SI2,H,1.21,3191.7355371900826
Fair,SI2,H,1.24,4200.0
Fair,SI2,H,1.26,3080.15873015873
Fair,SI2,H,1.27,4200.0
Fair,SI2,H,1.46,3919.8630136986303
Fair,SI2,H,1.5,4097.111111111111
Fair,SI2,H,1.51,4191.556291390729
Fair,SI2,H,1.52,4584.429824561404
Fair,SI2,H,1.55,5835.4838709677415
Fair,SI2,H,1.7,5695.294117647059
Fair,SI2,H,1.73,3472.2543352601156
Fair,SI2,H,1.91,3472.251308900524
Fair,SI2,H,2.0,5472.583333333333
Fair,SI2,H,2.01,5728.524046434494
Fair,SI2,H,2.02,6970.297029702971
Fair,SI2,H,2.13,6276.99530516432
Fair,SI2,H,2.5,5311.2
Fair,SI2,H,2.53,6760.0790513834
Fair,SI2,I,0.7,2321.4285714285716
Fair,SI2,I,0.73,2591.780821917808
Fair,SI2,I,0.91,2339.5604395604396
Fair,SI2,I,0.96,2645.8333333333335
Fair,SI2,I,0.99,2839.3939393939395
Fair,SI2,I,1.0,3045.5
Fair,SI2,I,1.01,3023.762376237624
Fair,SI2,I,1.02,3476.470588235294
Fair,SI2,I,1.03,3113.5922330097087
Fair,SI2,I,1.12,3275.892857142857
Fair,SI2,I,1.17,3276.0683760683764
Fair,SI2,I,1.26,3611.904761904762
Fair,SI2,I,1.35,3276.296296296296
Fair,SI2,I,1.5,3834.222222222222
Fair,SI2,I,1.51,4076.82119205298
Fair,SI2,I,1.52,4542.763157894737
Fair,SI2,I,1.54,4578.571428571428
Fair,SI2,I,1.71,5146.198830409357
Fair,SI2,I,2.0,4769.9
Fair,SI2,I,2.01,5328.855721393035
Fair,SI2,I,2.04,4804.901960784314
Fair,SI2,I,2.48,6060.483870967742
Fair,SI2,I,3.0,5656.666666666667
Fair,SI2,I,3.01,6060.465116279071
Fair,SI2,J,0.71,1951.4084507042253
Fair,SI2,J,0.9,2817.777777777778
Fair,SI2,J,1.0,2658.0
Fair,SI2,J,1.01,2656.4356435643563
Fair,SI2,J,1.02,3057.843137254902
Fair,SI2,J,1.03,3151.4563106796118
Fair,SI2,J,1.05,2656.190476190476
Fair,SI2,J,1.06,2822.6415094339623
Fair,SI2,J,1.08,3057.4074074074074
Fair,SI2,J,1.14,2985.0877192982457
Fair,SI2,J,1.21,3292.5619834710747
Fair,SI2,J,1.36,3057.3529411764703
Fair,SI2,J,1.45,3151.7241379310344
Fair,SI2,J,1.5,3512.0
Fair,SI2,J,1.51,3841.7218543046356
Fair,SI2,J,1.52,3892.1052631578946
Fair,SI2,J,2.4,6593.333333333334
Fair,SI2,J,2.5,5860.8
Fair,SI2,J,2.52,6260.31746031746
Fair,VS1,D,0.25,2252.0
Fair,VS1,D,0.46,2534.782608695652
Fair,VS1,D,0.73,4173.972602739726
Fair,VS1,D,1.0,7083.0
Fair,VS1,E,0.27,1374.074074074074
Fair,VS1,E,0.3,2398.3333333333335
Fair,VS1,E,0.5,3780.0
Fair,VS1,E,0.53,3354.7169811320755
Fair,VS1,E,0.58,3779.3103448275865
Fair,VS1,E,0.9,3640.0
Fair,VS1,E,0.91,5241.758241758242
Fair,VS1,E,1.0,7392.0
Fair,VS1,F,0.3,1976.6666666666667
Fair,VS1,F,0.36,2250.0
Fair,VS1,F,0.45,2100.0
Fair,VS1,F,0.5,2794.0
Fair,VS1,F,0.52,3430.7692307692305
Fair,VS1,F,0.57,3136.8421052631584
Fair,VS1,F,0.62,3359.6774193548385
Fair,VS1,F,0.75,3812.0
Fair,VS1,F,0.77,3936.3636363636365
Fair,VS1,F,0.9,4407.222222222223
Fair,VS1,F,1.0,5761.75
Fair,VS1,F,1.01,6526.732673267327
Fair,VS1,F,1.93,9323.834196891192
Fair,VS1,G,0.31,2241.935483870968
Fair,VS1,G,0.4,1995.0
Fair,VS1,G,0.46,2250.0
Fair,VS1,G,0.5,2631.714285714286
Fair,VS1,G,0.58,2932.7586206896553
Fair,VS1,G,0.69,3000.0000000000005
Fair,VS1,G,0.7,3388.8571428571436
Fair,VS1,G,0.71,3783.098591549296
Fair,VS1,G,0.72,3327.777777777778
Fair,VS1,G,0.76,3684.2105263157896
Fair,VS1,G,0.85,3527.0588235294117
Fair,VS1,G,0.86,4367.441860465116
Fair,VS1,G,0.9,4228.888888888889
Fair,VS1,G,1.0,5320.75
Fair,VS1,G,1.01,5552.970297029703
Fair,VS1,G,1.04,5416.346153846153
Fair,VS1,G,1.05,6936.190476190476
Fair,VS1,G,1.08,6551.851851851851
Fair,VS1,G,1.12,4899.107142857142
Fair,VS1,G,1.51,8574.834437086092
Fair,VS1,H,0.5,2283.3333333333335
Fair,VS1,H,0.51,2419.607843137255
Fair,VS1,H,0.63,2793.6507936507937
Fair,VS1,H,0.7,3114.642857142857
Fair,VS1,H,0.71,3381.690140845071
Fair,VS1,H,0.74,2963.5135135135138
Fair,VS1,H,0.77,3368.8311688311687
Fair,VS1,H,0.92,4265.217391304348
Fair,VS1,H,1.0,4834.0
Fair,VS1,H,1.01,3639.6039603960394
Fair,VS1,H,1.02,4367.64705882353
Fair,VS1,H,1.44,5095.833333333334
Fair,VS1,H,1.5,6350.333333333334
Fair,VS1,H,1.51,7458.940397350993
Fair,VS1,H,1.57,5180.254777070064
Fair,VS1,H,1.98,6526.767676767677
Fair,VS1,H,2.0,7099.5
Fair,VS1,I,0.41,1792.6829268292684
Fair,VS1,I,0.46,2113.0434782608695
Fair,VS1,I,0.5,1938.0
Fair,VS1,I,0.59,2083.0508474576272
Fair,VS1,I,0.69,2452.1739130434785
Fair,VS1,I,0.71,2963.380281690141
Fair,VS1,I,0.73,3191.780821917808
Fair,VS1,I,0.77,2836.3636363636365
Fair,VS1,I,0.81,2835.8024691358023
Fair,VS1,I,0.89,2622.4719101123596
Fair,VS1,I,0.9,3399.4444444444443
Fair,VS1,I,1.0,3857.0
Fair,VS1,I,1.01,3992.0792079207918
Fair,VS1,I,1.03,4201.941747572815
Fair,VS1,I,2.0,6057.25
Fair,VS1,I,2.05,8491.707317073171
Fair,VS1,J,0.77,2603.896103896104
Fair,VS1,J,0.9,3293.333333333333
Fair,VS1,J,1.0,3080.0
Fair,VS1,J,1.5,5212.666666666667
Fair,VS1,J,1.52,4727.631578947368
Fair,VS1,J,1.76,5292.045454545455
Fair,VS1,J,2.01,7165.174129353235
Fair,VS2,D,0.5,2862.0
Fair,VS2,D,0.51,3270.5882352941176
Fair,VS2,D,0.71,3775.117370892019
Fair,VS2,D,0.9,4367.777777777777
Fair,VS2,D,0.91,4634.798534798535
Fair,VS2,D,0.93,5460.215053763441
Fair,VS2,D,1.01,6146.2046204620465
Fair,VS2,D,1.12,6871.428571428571
Fair,VS2,D,1.5,8404.0
Fair,VS2,E,0.22,1531.8181818181818
Fair,VS2,E,0.3,2100.0
Fair,VS2,E,0.31,2625.8064516129034
Fair,VS2,E,0.4,2032.5
Fair,VS2,E,0.43,2574.4186046511627
Fair,VS2,E,0.45,2145.5555555555557
Fair,VS2,E,0.46,2326.086956521739
Fair,VS2,E,0.48,2531.25
Fair,VS2,E,0.5,3280.5
Fair,VS2,E,0.51,3350.9803921568628
Fair,VS2,E,0.56,3101.7857142857138
Fair,VS2,E,0.7,3667.1428571428573
Fair,VS2,E,0.71,4087.323943661972
Fair,VS2,E,0.72,3737.5
Fair,VS2,E,0.75,3920.0
Fair,VS2,E,0.9,4444.444444444444
Fair,VS2,E,0.91,5000.0
Fair,VS2,E,1.0,5677.666666666667
Fair,VS2,E,1.01,4701.485148514852
Fair,VS2,E,1.02,5245.098039215686
Fair,VS2,E,1.17,5823.931623931624
Fair,VS2,E,1.51,8496.026490066226
Fair,VS2,F,0.3,2586.666666666667
Fair,VS2,F,0.32,5359.375
Fair,VS2,F,0.34,2400.0
Fair,VS2,F,0.45,2448.8888888888887
Fair,VS2,F,0.46,2134.782608695652
Fair,VS2,F,0.5,2504.0
Fair,VS2,F,0.51,2878.431372549019
Fair,VS2,F,0.53,2645.2830188679245
Fair,VS2,F,0.56,3239.2857142857138
Fair,VS2,F,0.64,3223.4375
Fair,VS2,F,0.65,2893.846153846154
Fair,VS2,F,0.7,3717.5
Fair,VS2,F,0.72,3783.3333333333335
Fair,VS2,F,0.74,3790.5405405405404
Fair,VS2,F,0.84,3776.190476190476
Fair,VS2,F,0.9,4614.444444444444
Fair,VS2,F,0.91,4566.483516483517
Fair,VS2,F,1.0,5150.0
Fair,VS2,F,1.01,5412.8712871287125
Fair,VS2,F,1.5,9235.333333333334
Fair,VS2,G,0.35,4042.857142857143
Fair,VS2,G,0.4,1805.0
Fair,VS2,G,0.46,2178.2608695652175
Fair,VS2,G,0.5,2269.0
Fair,VS2,G,0.7,3528.095238095238
Fair,VS2,G,0.71,3694.366197183099
Fair,VS2,G,0.72,3202.777777777778
Fair,VS2,G,0.73,3289.041095890411
Fair,VS2,G,0.9,4787.777777777777
Fair,VS2,G,0.91,5340.65934065934
Fair,VS2,G,1.0,4790.0
Fair,VS2,G,1.01,5169.4306930693065
Fair,VS2,G,1.05,5402.857142857142
Fair,VS2,G,1.51,6406.2913907284765
Fair,VS2,G,1.7,8741.176470588236
Fair,VS2,G,2.0,9257.5
Fair,VS2,G,2.01,8913.930348258707
Fair,VS2,H,0.46,1804.3478260869565
Fair,VS2,H,0.5,2419.3333333333335
Fair,VS2,H,0.56,2308.928571428571
Fair,VS2,H,0.7,3142.857142857143
Fair,VS2,H,0.71,2580.281690140845
Fair,VS2,H,0.78,3450.0
Fair,VS2,H,0.8,3357.5
